text,label
Slot's first season changes included switching Salah to inside forward not tracking back switched formation to double pivot with a 10 instead of 433 which allowed Gravenberch to flourish no longer inverting Trent started using Diaz as false 9 and allowed LB to bomb forward more.,analysis
Have you considered the possibility that majority of those comments come from people who DO remember the wretched Hodgson era but also recognize the wholly different context? One is just coming off a lack of investment from inept owners the other is coming off a league winning season a record spend experienced owners.,analysis
Szoboslai's free kicks have masked the fact that his tactical role isn't well defined. He should not be initiating the counter or given too much responsibility for covering defensively. He is best as an offensive minded 8 paired with a deep lying playmaker. Gakpo is a second striker not a winger.,analysis
This is rebuild season. We've had a change of system a changing of the guard of older players and a heavily disrupted preseason. We'd be 3rd based on xP which isn't as bad. We are underperforming statistically.,analysis
Mo Salah is still good enough for Liverpool. Everyone has been poor this season. Mo has lost pace but he has enough intelligence to make up for it. Just needs a better manager and more off the ball support.,hot_take
We bought Wirtz to be a game changer but honestly if he doesn't start or get subbed I'm not even that bothered anymore. I saw so many missed passes from him last night and it summed up his overall contribution.,hot_take
Wirtz hasn't been anywhere near good enough to justify the price tag. When you look at the likes of Gerrard and Suarez their quality shone through in sides with far less direction and quality around them.,analysis
Ngumoha is not the answer at least for now. His over enthusiastic style will get him burned out rapidly before he turns 25. Slot is right to manage his minutes.,hot_take
Midfield recruitment should be the top priority over multiple attacking players,hot_take
Since Slot arrived he asked for a playmaking no.6 didn't get Zubimendi and haven't revisited. Fullbacks seem heavily misprofiled signed 2 small players who aren't great on the ball. Slot tried to get Kerkez to do what Nuno Mendes was doing and that experiment failed.,analysis
He's plays too much in his shell plays it cute a lot of the time. There's been far too many excuses for Wirtz. You look at someone like Cherki he's always looking to create and play the killer pass he plays like he doesn't have a care in the world.,analysis
Szoboszlai gives away too many cheap passes for an elite midfielder. His misplaced pass led to the second goal.,hot_take
Wirtz really needs more stick than this fanbase give him he's been shocking overall,hot_take
Grav is overrated,hot_take
Connor Bradley will never be fit for first team action. Naby Keita 2.0,hot_take
Even if Alonso comes I don't think much would change. We shouldn't have spent 450M on players. Smart spending on rising talents was needed. Look at Man City they got Khusanov Cherki Guehi and Semenyo for less than 200M.,analysis
I'm behind Slot and think he deserves a chance to fix this. Slot is Head Coach not manager and fans would do well to remember this. All the vitriol is aimed at him whilst Hughes and Edwards are getting away scot-free.,hot_take
Despite his awful exit we missed Trent desperately this season. His presence opens lanes for the rest of the squad. Our passing and system was too one dimensional as a result.,analysis
Salah isn't remotely washed and under a different manager would be putting up numbers similar to last season. He's just low on confidence like the rest of the squad.,hot_take
I don't think Xabi will fix anything. The trouble we've had goes so much further than manager problems.,hot_take
Arne Slot doesn't embody what Liverpool Football Club stands for. No faith in youth no real connection with the fans dropped discipline levels by miles.,hot_take
Connor Bradley will never be fit for first team action. Naby Keita 2.0,hot_take
We played a very good game last night against PSG. The xG comparison for that game was 1.64 vs 1.52. The difference is we scored every half a chance we got in that game and we couldn't even score open goals last night.,analysis
A lot went wrong this season. The squad looks completely out of sync. Players that were close to others like Tsimikas Elliott Diaz Nunez Trent were sent away. Then add Jota's passing - we have a squad that is grieving while trying to form new connections.,analysis
People just want to scapegoat Slot for this season when there's been so many factors. Look at Arteta and how difficult it is to push the team over the line to win the league.,hot_take
I think Slot should be given more time...,hot_take
